"","AREA_NAME","HOOD_ID","POPULATION_2023","ASSAULT_2023","AUTOTHEFT_2023","BIKETHEFT_2023","BREAKENTER_2023","HOMICIDE_2023","ROBBERY_2023","SHOOTING_2023","THEFTFROMMV_2023","THEFTOVER_2023","TOTAL_CRIME_2023"
"1","South Eglinton-Davisville",174,21987,101,21,37,43,0,3,0,40,8,253
"2","North Toronto",173,15077,105,18,22,31,0,14,0,41,7,238
"3","Dovercourt Village",172,13837,104,28,38,46,0,21,1,24,3,265
"4","Junction-Wallace Emerson",171,26240,229,34,55,82,0,18,2,57,9,486
"5","Yonge-Bay Corridor",170,14731,543,46,228,108,1,62,2,76,51,1117
"6","Bay-Cloverhill",169,19055,142,17,56,61,0,20,1,40,13,350
"7","Bendale-Glen Andrew",156,20773,237,144,10,29,0,55,1,76,20,572
"8","Downsview",155,17003,208,95,8,74,0,28,3,70,17,503
"9","Oakdale-Beverley Heights",154,21503,447,161,12,89,1,30,6,73,23,842
"10","Avondale",153,16149,50,25,9,19,0,6,1,64,5,179
"11","East Willowdale",152,18285,48,86,10,73,0,17,1,75,14,324
"12","Yonge-Doris",151,23234,104,47,17,16,1,14,0,143,18,360
"13","Fenside-Parkwoods",150,22909,130,40,7,20,1,14,1,38,7,258
"14","Parkwoods-O'Connor Hills",149,14788,96,55,2,35,0,6,2,27,7,230
"15","East L'Amoreaux",148,23988,83,53,7,26,0,10,4,40,6,229
"16","L'Amoreaux West",147,24374,118,63,8,27,1,19,1,47,1,285
"17","Malvern East",146,28098,145,64,6,33,0,20,3,53,0,324
"18","Malvern West",145,19412,93,55,2,16,0,14,3,47,2,232
"19","Morningside Heights",144,28167,119,153,1,33,0,23,8,70,16,423
"20","West Rouge",143,22396,70,99,4,26,1,22,3,47,4,276
"21","Woburn North",142,29500,186,103,13,44,2,22,4,92,9,475
"22","Golfdale-Cedarbrae-Woburn",141,28651,193,78,8,24,1,32,3,76,9,424
"23","Guildwood",140,10332,56,23,2,9,0,1,0,29,4,124
"24","Scarborough Village",139,17713,153,46,6,36,0,24,2,71,4,342
"25","Eglinton East",138,24231,168,49,16,53,1,33,3,98,8,429
"26","West Hill",136,29259,443,81,15,54,2,56,11,146,20,828
"27","Morningside",135,18463,131,50,2,8,0,3,4,49,3,250
"28","Highland Creek",134,13871,64,60,3,14,0,3,3,22,2,171
"29","Centennial Scarborough",133,14609,39,46,0,17,0,7,0,29,2,140
"30","Milliken",130,28371,89,298,3,77,0,37,3,89,24,620
"31","Agincourt North",129,31260,82,119,4,44,0,15,1,30,5,300
"32","Agincourt South-Malvern West",128,28097,191,127,12,67,0,18,6,72,11,504
"33","Dorset Park",126,26286,218,98,15,66,4,30,2,97,24,554
"34","Ionview",125,14121,126,34,5,15,0,4,2,32,2,220
"35","Kennedy Park",124,18173,317,45,8,41,0,33,7,73,12,536
"36","Cliffcrest",123,17922,183,60,3,24,1,13,4,49,2,339
"37","Birchcliffe-Cliffside",122,23417,209,71,6,35,0,13,1,54,7,396
"38","Downtown Yonge East",168,18023,656,45,205,118,2,90,5,113,25,1259
"39","Church-Wellesley",167,22938,334,37,102,76,1,55,1,78,26,710
"40","St Lawrence-East Bayfront-The Islands",166,31003,445,43,106,97,0,42,3,111,31,878
"41","Harbourfront-CityPlace",165,31477,271,34,88,77,1,22,3,90,15,601
"42","Wellington Place",164,28870,429,71,80,141,1,46,6,92,32,898
"43","Fort York-Liberty Village",163,21860,167,23,43,33,2,7,1,37,12,325
"44","West Queen West",162,15136,108,14,42,43,0,10,0,31,5,253
"45","Humber Bay Shores",161,20822,152,78,16,37,0,9,1,30,10,333
"46","Mimico-Queensway",160,18313,519,69,5,34,1,8,2,54,25,717
"47","Etobicoke City Centre",159,25495,308,294,17,70,3,40,4,188,60,984
"48","Islington",158,25937,137,170,8,58,0,12,0,47,13,445
"49","Bendale South",157,10881,82,24,2,15,0,20,1,25,2,171
"50","Caledonia-Fairbank",109,10581,63,33,9,14,1,4,2,10,2,138
"51","Briar Hill-Belgravia",108,15146,89,37,5,38,0,22,1,53,8,253
"52","Oakwood Village",107,22404,112,58,10,36,0,13,2,45,3,279
"53","Humewood-Cedarvale",106,15620,54,53,14,38,0,1,0,26,3,189
"54","Lawrence Park North",105,15581,32,81,6,33,0,6,0,33,7,198
"55","Lawrence Park South",103,16778,33,120,6,58,0,7,0,22,6,252
"56","Forest Hill North",102,13172,63,53,3,46,0,9,0,35,3,212
"57","Forest Hill South",101,12160,43,94,11,75,0,1,1,15,3,243
"58","Yonge-Eglinton",100,13743,104,40,16,33,0,12,2,18,15,240
"59","Mount Pleasant East",99,18084,77,57,13,20,0,8,0,23,5,203
"60","Rosedale-Moore Park",98,23053,271,143,45,101,1,24,1,46,23,655
"61","Yonge-St.Clair",97,13953,35,38,14,36,0,2,0,19,2,146
"62","Casa Loma",96,11972,56,42,9,47,0,15,0,10,6,185
"63","Annex",95,34502,396,81,81,138,0,67,0,107,63,933
"64","Wychwood",94,14609,89,26,13,41,0,25,6,22,1,223
"65","Corso Italia-Davenport",92,14784,147,39,18,41,1,19,3,39,12,319
"66","Weston-Pelham Park",91,12330,119,21,7,38,0,6,4,16,4,215
"67","Junction Area",90,15252,136,46,16,68,0,19,1,40,9,335
"68","Oakridge",121,15389,215,22,3,29,0,20,3,54,4,350
"69","Clairlea-Birchmount",120,28782,278,122,8,59,0,22,4,92,10,595
"70","Wexford/Maryvale",119,29870,260,203,27,77,0,31,4,118,19,739
"71","Tam O'Shanter-Sullivan",118,29770,136,100,16,43,0,21,3,70,5,394
"72","Steeles",116,26395,49,63,3,27,0,7,1,23,1,174
"73","Mount Dennis",115,14256,122,55,3,31,0,9,2,32,7,261
"74","Lambton Baby Point",114,8294,31,20,1,15,0,5,1,8,2,83
"75","Weston",113,19809,243,106,11,61,1,36,4,60,4,526
"76","Beechborough-Greenbrook",112,7057,82,23,3,24,1,12,5,12,7,169
"77","Rockcliffe-Smythe",111,23453,180,75,12,53,0,20,8,93,11,452
"78","Keelesdale-Eglinton West",110,11969,112,34,2,29,1,26,1,23,3,231
"79","Palmerston-Little Italy",80,14699,77,14,33,35,2,21,2,30,8,222
"80","University",79,7564,127,7,53,55,0,14,0,39,11,306
"81","Kensington-Chinatown",78,21229,482,50,137,145,1,46,5,104,29,999
"82","North St.James Town",74,20492,276,10,41,40,0,29,1,56,9,462
"83","Moss Park",73,22207,627,43,99,145,7,56,3,108,25,1113
"84","Regent Park",72,14166,160,12,27,40,0,20,2,34,8,303
"85","Cabbagetown-South St.James Town",71,11968,131,19,31,53,0,14,0,50,6,304
"86","South Riverdale",70,30135,339,81,85,97,1,44,3,91,27,768
"87","Blake-Jones",69,8229,81,7,11,34,1,11,4,15,3,167
"88","North Riverdale",68,12168,80,27,15,32,1,9,2,19,2,187
"89","Playter Estates-Danforth",67,7764,106,32,11,25,0,18,2,26,0,220
"90","Danforth",66,10173,132,25,13,23,0,21,2,28,5,249
"91","Greenwood-Coxwell",65,15400,127,29,16,23,1,7,0,36,3,242
"92","Woodbine Corridor",64,13282,102,32,9,25,0,7,1,34,3,213
"93","The Beaches",63,23097,113,58,25,39,1,16,0,49,16,317
"94","East End-Danforth",62,23011,218,50,27,44,2,17,1,64,7,430
"95","Taylor-Massey",61,16157,144,28,16,18,0,28,1,33,3,271
"96","Woodbine-Lumsden",60,8141,32,16,5,12,1,0,0,13,4,83
"97","Danforth East York",59,17883,102,51,4,12,0,4,0,45,4,222
"98","Old East York",58,9540,63,32,6,7,0,6,2,27,1,144
"99","Runnymede-Bloor West Village",89,10772,58,42,15,31,0,18,1,19,6,190
"100","High Park North",88,24474,187,41,28,54,1,24,0,26,4,365
"101","High Park-Swansea",87,26135,106,54,19,52,1,9,3,40,10,294
"102","Roncesvalles",86,15939,136,28,21,48,0,21,1,39,5,299
"103","South Parkdale",85,23054,324,43,30,63,0,23,0,34,21,538
"104","Little Portugal",84,17399,129,23,17,32,0,15,1,45,10,272
"105","Dufferin Grove",83,12709,148,18,58,36,0,29,1,39,8,337
"106","Trinity-Bellwoods",81,17814,139,28,46,73,0,25,1,40,9,361
"107","Don Valley Village",47,29424,166,161,7,45,2,30,5,104,14,534
"108","Pleasant View",46,16732,52,45,11,17,0,14,0,36,5,180
"109","Flemingdon Park",44,23485,167,39,6,24,0,13,4,49,5,307
"110","Victoria Village",43,18592,146,54,2,26,0,16,4,55,11,314
"111","Banbury-Don Mills",42,31047,132,150,14,99,1,24,4,65,14,503
"112","Bridle Path-Sunnybrook-York Mills",41,10707,48,80,8,96,0,3,0,26,8,269
"113","St.Andrew-Windfields",40,20205,58,136,11,90,1,15,0,34,12,357
"114","Bedford Park-Nortown",39,25583,52,229,7,122,0,12,0,71,13,506
"115","Lansing-Westgate",38,17872,89,113,11,58,0,24,0,56,8,359
"116","Willowdale West",37,19546,115,59,6,40,0,38,0,53,11,322
"117","Newtonbrook West",36,26265,200,214,20,52,0,30,1,150,14,681
"118","Westminster-Branson",35,27742,119,85,5,29,0,4,0,69,7,318
"119","Bathurst Manor",34,17255,88,76,5,42,1,16,0,56,4,288
"120","Clanton Park",33,19089,134,154,9,68,0,16,3,72,11,467
"121","Englemount-Lawrence",32,24465,125,68,9,49,0,17,4,54,7,333
"122","Yorkdale-Glen Park",31,17258,207,199,13,154,0,74,0,118,44,809
"123","Brookhaven-Amesbury",30,18738,166,74,5,39,0,30,0,54,9,377
"124","Maple Leaf",29,10575,50,49,0,17,0,5,1,17,1,140
"125","Rustic",28,10404,89,34,0,19,0,2,3,14,2,163
"126","York University Heights",27,29897,409,263,16,218,0,106,6,178,40,1236
"127","Glenfield-Jane Heights",25,32251,327,119,5,43,0,31,14,54,27,620
"128","Broadview North",57,12200,81,17,11,22,0,3,0,28,3,165
"129","Leaside-Bennington",56,18185,38,112,12,49,0,5,0,54,9,279
"130","Thorncliffe Park",55,22508,128,55,10,49,0,12,4,33,8,299
"131","O'Connor-Parkview",54,19901,133,61,8,44,1,3,0,38,6,294
"132","Henry Farm",53,22782,107,67,8,25,1,13,0,89,10,320
"133","Bayview Village",52,25685,137,96,17,66,0,9,2,115,18,460
"134","Newtonbrook East",50,17338,87,75,8,36,1,20,1,43,15,286
"135","Bayview Woods-Steeles",49,13641,60,34,3,27,0,7,0,33,1,165
"136","Hillcrest Village",48,18076,68,73,2,40,0,13,1,42,8,247
"137","Alderwood",20,13503,44,48,2,20,0,8,0,16,8,146
"138","Long Branch",19,11601,96,37,16,27,0,7,0,19,2,204
"139","New Toronto",18,12205,168,38,9,38,0,16,1,36,5,311
"140","Stonegate-Queensway",16,26728,137,148,7,101,2,18,1,69,11,494
"141","Kingsway South",15,10257,65,88,9,55,0,8,0,13,6,244
"142","Etobicoke West Mall",13,12713,66,62,3,12,0,1,2,49,5,200
"143","Markland Wood",12,10741,45,50,1,15,0,4,0,23,1,139
"144","Eringate-Centennial-West Deane",11,19558,90,120,2,31,0,13,0,45,3,304
"145","Princess-Rosethorn",10,12552,25,115,2,63,0,12,2,19,5,243
"146","Edenbridge-Humber Valley",9,17271,53,115,2,63,0,7,1,28,5,274
"147","Humber Heights-Westmount",8,11398,53,25,1,13,0,6,4,20,2,124
"148","Willowridge-Martingrove-Richview",7,24097,123,105,3,31,0,17,4,61,3,347
"149","Kingsview Village-The Westway",6,22759,151,112,1,40,0,23,2,101,8,438
"150","Elms-Old Rexdale",5,9884,61,40,6,16,0,14,0,43,4,184
"151","Rexdale-Kipling",4,10722,76,74,1,16,0,24,1,47,4,243
"152","Thistletown-Beaumond Heights",3,10530,66,48,5,23,0,13,0,55,14,224
"153","Mount Olive-Silverstone-Jamestown",2,35386,297,152,11,24,4,54,16,121,11,690
"154","West Humber-Clairville",1,36388,322,829,10,212,2,77,9,315,80,1856
"155","Black Creek",24,23047,231,83,5,29,0,28,7,54,13,450
"156","Pelmo Park-Humberlea",23,12121,104,101,0,23,0,13,3,24,6,274
"157","Humbermede",22,16568,159,122,2,29,0,14,2,76,11,415
"158","Humber Summit",21,13425,165,131,4,90,2,25,6,88,42,553
